freq,unit,sex,isced11,c_birth,age,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,AT	34.4 	28.6 	29.8 	30.2 	39.2 	39.0 	43.3 b	43.7 	43.2 	33.9 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,BA	: 	: 	: 	: 	: 	: 	38.4 u	: u	: u	: 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,BE	41.9 	44.7 	45.6 b	52.4 	52.7 	50.6 	49.7 b	42.0 	42.5 	44.3 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,CH	44.9 	44.3 	47.8 	47.9 	50.0 	40.6 	40.6 b	38.2 	41.7 	41.6 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,CY	42.7 	37.9 	45.4 	45.3 	57.8 	49.8 	47.3 b	60.2 	43.9 	22.1 u
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,CZ	41.9 u	42.5 u	32.5 u	39.7 u	37.1 u	45.2 u	44.7 bu	40.3 u	46.4 	56.7 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,DE	: 	: 	54.2 	52.3 	52.7 	46.6 b	62.9 b	66.3 	68.4 	65.7 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,DK	36.1 u	44.9 bu	: bu	38.1 u	47.9 u	32.8 u	37.9 bu	40.2 u	36.8 u	33.5 u
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,EE	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,EL	59.3 	46.6 u	47.0 u	62.4 	39.6 u	: u	: bu	: u	45.9 u	: u
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,ES	52.9 	52.3 	57.9 	48.7 	45.2 	47.1 	49.7 b	56.0 	40.8 	44.5 
A,PC,F,ED0-2,EU27_2020_FOR,Y15-24,EU27_2020	48.3 	47.2 	49.2 	48.2 	49.6 	47.0 	51.0 b	53.0 	52.3 	50.4 
