freq,unit,sex,age,citizen,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,F,Y20-64,EU27_2020_FOR,AT	69.3 	71.6 	70.9 	70.3 	72.3 	72.1 	70.4 b	75.2 	74.8 	75.6 
A,PC,F,Y20-64,EU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,BE	59.9 	62.9 	62.6 b	63.7 	65.0 	64.8 	66.5 b	68.7 	66.4 	66.7 
A,PC,F,Y20-64,EU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,CH	77.9 	78.9 	78.0 	79.5 	81.2 	80.0 	78.4 b	79.0 	81.7 	81.1 
A,PC,F,Y20-64,EU27_2020_FOR,CY	67.4 	68.1 	69.6 	69.9 	75.7 	70.3 	69.9 b	79.7 	81.7 	78.2 
A,PC,F,Y20-64,EU27_2020_FOR,CZ	68.4 	72.7 	76.1 	73.0 	74.6 	74.6 	73.7 b	75.7 	74.0 	76.7 
A,PC,F,Y20-64,EU27_2020_FOR,DE	67.5 	69.3 	69.7 	71.3 	72.7 	71.7 b	71.3 b	74.6 	74.9 	75.0 
A,PC,F,Y20-64,EU27_2020_FOR,DK	65.7 	69.3 b	71.0 b	67.1 	72.7 	74.3 	76.8 b	75.9 	75.7 b	77.4 
A,PC,F,Y20-64,EU27_2020_FOR,EE	: u	: u	75.6 u	61.3 	72.8 u	75.7 u	67.2 bu	62.8 u	: u	85.5 u
A,PC,F,Y20-64,EU27_2020_FOR,EL	51.9 	46.7 	49.5 	45.0 	41.9 	44.5 	43.9 b	42.9 	41.2 	48.1 
A,PC,F,Y20-64,EU27_2020_FOR,ES	58.5 	59.0 	60.3 	61.6 	64.8 	57.8 	58.2 bd	61.3 d	65.9 d	68.1 d
A,PC,F,Y20-64,EU27_2020_FOR,EU27_2020	64.0 	65.8 	66.5 	67.1 	68.3 	66.2 	67.0 b	70.4 	70.9 	71.1 
A,PC,F,Y20-64,EU27_2020_FOR,FI	68.3 	67.5 	69.2 	67.8 	74.6 	75.7 	69.4 b	72.6 	75.8 	71.5 
A,PC,F,Y20-64,EU27_2020_FOR,FR	64.1 	68.1 	67.5 	68.8 	68.5 	69.3 	70.7 bd	71.9 d	70.2 d	67.4 d
A,PC,F,Y20-64,EU27_2020_FOR,HR	: u	: u	: u	74.9 u	89.1 u	: u	: bu	: u	: u	59.6 u
A,PC,F,Y20-64,EU27_2020_FOR,HU	58.8 	61.1 	47.6 u	53.9 b	65.4 	62.4 	79.7 b	78.1 	63.3 	75.2 
A,PC,F,Y20-64,EU27_2020_FOR,IE	65.8 	68.8 	72.2 b	73.9 	73.6 	69.4 	72.4 b	77.6 	80.6 	81.2 
A,PC,F,Y20-64,EU27_2020_FOR,IS	83.2 	87.8 	92.5 	84.5 	86.6 	79.9 b	74.7 b	87.0 	84.0 	84.5 
A,PC,F,Y20-64,EU27_2020_FOR,IT	59.9 	60.3 	60.3 	58.5 b	57.4 	52.7 	54.9 b	57.9 	57.6 	58.5 
A,PC,F,Y20-64,EU27_2020_FOR,LT	: u	: u	: u	: u	: u	: u	: bu	100.0 u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,LU	68.7 b	68.5 	72.0 	74.3 	72.3 	72.2 	74.4 b	76.4 	77.6 	77.6 
A,PC,F,Y20-64,EU27_2020_FOR,LV	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,ME	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,F,Y20-64,EU27_2020_FOR,MK	: u	: u	: u	: u	: u	: u	: 	: 	: 	: 
A,PC,F,Y20-64,EU27_2020_FOR,MT	73.0 	78.1 	80.0 	75.9 	79.5 	82.8 	80.5 b	76.9 	76.6 	82.4 
A,PC,F,Y20-64,EU27_2020_FOR,NL	66.7 	71.8 	73.2 	69.5 	74.5 	73.9 	73.7 b	80.4 	81.6 	80.4 
A,PC,F,Y20-64,EU27_2020_FOR,NO	79.8 	80.5 	76.6 	78.2 	81.0 	78.2 	79.2 b	79.6 	78.3 	80.4 
A,PC,F,Y20-64,EU27_2020_FOR,PL	: u	: u	76.1 u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,PT	72.6 	70.0 	67.8 	75.2 	73.0 	74.8 	82.6 b	82.6 	76.8 	74.3 
A,PC,F,Y20-64,EU27_2020_FOR,RO	: u	: u	: 	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,RS	: u	: u	39.7 u	62.8 u	: u	: u	35.6 bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,SE	72.3 	73.8 	77.2 	80.0 b	75.5 	75.0 	76.5 b	80.4 	83.3 	79.9 
A,PC,F,Y20-64,EU27_2020_FOR,SI	52.8 u	55.8 u	67.4 u	80.1 u	77.7 u	62.9 u	78.5 bu	77.6 u	76.6 u	82.2 u
A,PC,F,Y20-64,EU27_2020_FOR,SK	: u	: u	70.9 u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,UK	76.3 	74.6 	76.8 	79.5 	80.6 	: 	: 	: 	: 	: 
A,PC,F,Y20-64,NAT,AT	72.2 	73.3 	73.8 	73.8 	74.5 	74.0 	73.8 b	75.5 	75.7 	76.3 
A,PC,F,Y20-64,NAT,BA	: 	: 	: 	: 	: 	: 	39.0 b	40.0 	42.2 	44.1 
A,PC,F,Y20-64,NAT,BE	64.9 	64.7 	65.5 b	67.3 	68.5 	68.0 	68.9 b	70.2 	70.4 	70.3 
A,PC,F,Y20-64,NAT,BG	63.8 	64.1 	67.4 	68.3 	70.8 b	69.2 	69.1 b	72.1 	72.6 	73.3 
A,PC,F,Y20-64,NAT,CH	79.7 	80.3 	80.5 	80.6 	81.0 	80.8 	81.2 b	81.4 	81.8 	82.4 
A,PC,F,Y20-64,NAT,CY	62.7 	63.5 	66.0 	69.6 	70.4 	69.9 	70.8 b	73.4 	75.7 	76.7 
A,PC,F,Y20-64,NAT,CZ	66.5 	68.6 	70.5 	72.2 	72.7 	71.8 	72.2 b	73.7 	74.5 	76.0 
A,PC,F,Y20-64,NAT,DE	76.0 	77.2 	78.1 	78.8 	79.5 	78.6 b	79.0 b	80.3 	81.4 	81.7 
A,PC,F,Y20-64,NAT,DK	73.5 	73.8 b	74.6 b	75.6 	76.3 	75.7 	76.7 b	78.2 	77.9 b	77.6 
A,PC,F,Y20-64,NAT,EE	74.0 	74.6 	76.8 	76.8 	77.5 	76.1 	79.5 b	82.4 	83.0 	83.2 
A,PC,F,Y20-64,NAT,EL	46.0 	47.0 	48.3 	49.5 	51.9 	52.5 	53.4 b	56.6 	58.3 	60.7 
A,PC,F,Y20-64,NAT,ES	56.9 	58.8 	60.3 	61.8 	63.2 	61.6 	63.6 bd	65.2 d	66.9 d	68.1 d
A,PC,F,Y20-64,NAT,EU27_2020	64.1 	65.3 	66.5 	67.5 	68.4 	67.8 	69.0 b	70.6 	71.6 	72.3 
A,PC,F,Y20-64,NAT,FI	72.8 	72.7 	73.4 	75.6 	76.9 	75.9 	77.2 b	78.8 	79.5 	78.6 
A,PC,F,Y20-64,NAT,FR	67.7 	68.2 	68.7 	69.5 	70.2 	69.9 	72.0 bd	73.2 d	73.5 d	74.2 d
A,PC,F,Y20-64,NAT,HR	55.8 	56.6 	58.1 	59.7 	61.2 	61.4 	63.5 b	65.5 	67.0 	70.8 
A,PC,F,Y20-64,NAT,HU	62.2 	64.7 	65.7 	67.0 b	67.7 	67.3 	73.6 b	75.4 	76.3 	77.2 
A,PC,F,Y20-64,NAT,IE	64.7 	66.0 	67.4 b	68.5 	69.4 	68.2 	70.4 b	72.8 	74.5 	75.3 
A,PC,F,Y20-64,NAT,IS	83.5 	84.5 	84.2 	83.3 	82.9 	79.2 b	78.1 b	81.9 	82.2 	83.5 
A,PC,F,Y20-64,NAT,IT	50.4 	51.5 	52.5 	53.3 b	54.2 	53.4 	53.8 b	55.6 	57.2 	58.1 
A,PC,F,Y20-64,NAT,LT	72.3 	74.3 	75.5 	76.8 	77.5 	75.8 	76.8 b	78.6 	77.8 	78.7 
A,PC,F,Y20-64,NAT,LU	64.7 b	64.4 	65.9 	65.3 	67.2 	68.9 	69.5 b	69.1 	68.6 	69.3 
A,PC,F,Y20-64,NAT,LV	72.1 	73.9 	74.6 	77.0 	77.2 	76.7 	74.7 b	77.2 	77.2 	77.2 
A,PC,F,Y20-64,NAT,ME	51.9 	52.1 	51.5 	52.8 	53.9 	49.1 	: 	: 	: 	: 
A,PC,F,Y20-64,NAT,MK	42.2 	42.6 	43.8 	45.3 	48.5 	49.1 	: 	: 	: 	: 
A,PC,F,Y20-64,NAT,MT	54.6 	57.2 	59.0 	61.3 	63.9 	65.7 	67.8 b	71.0 	71.2 	73.3 
A,PC,F,Y20-64,NAT,NL	72.0 	72.6 	73.9 	75.4 	76.6 	76.8 	78.9 b	79.8 	80.6 	80.6 
A,PC,F,Y20-64,NAT,NO	77.7 	77.5 	77.3 	77.9 	77.9 	77.9 	78.7 b	79.0 	78.9 	78.4 
A,PC,F,Y20-64,NAT,PL	60.9 	62.3 	63.6 	64.9 	65.6 b	65.9 	68.5 b	70.3 	72.0 	72.5 
A,PC,F,Y20-64,NAT,PT	66.1 	67.5 	69.9 	72.3 	72.9 	71.9 	72.9 b	74.6 	75.9 	76.3 
A,PC,F,Y20-64,NAT,RO	57.2 	57.4 	60.2 	60.6 	61.3 	61.0 	56.9 b	59.1 	59.2 	60.3 
A,PC,F,Y20-64,NAT,RS	48.4 	52.0 	54.5 	55.8 	58.3 	59.0 	58.9 b	61.9 	63.5 	65.6 
A,PC,F,Y20-64,NAT,SE	80.4 	81.5 	82.2 	83.0 b	82.8 	81.7 	80.6 b	81.5 	82.2 	81.8 
A,PC,F,Y20-64,NAT,SI	65.2 	67.3 	70.3 	72.4 	73.9 	73.3 	73.5 b	75.3 	75.2 	76.2 
A,PC,F,Y20-64,NAT,SK	60.3 	62.7 	64.7 	65.6 	66.9 	66.2 	70.4 b	72.6 	73.6 	73.7 
A,PC,F,Y20-64,NAT,UK	72.0 	73.0 	74.0 	74.5 	75.2 	: 	: 	: 	: 	: 
A,PC,F,Y20-64,NEU27_2020_FOR,AT	48.2 	47.2 	49.3 	52.4 	51.7 	47.5 	50.1 b	54.0 	54.0 	55.3 
A,PC,F,Y20-64,NEU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	45.4 bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,BE	35.1 	32.7 	30.0 b	32.1 	30.1 	28.0 	30.0 b	35.0 	39.1 	40.6 
A,PC,F,Y20-64,NEU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,NEU27_2020_FOR,CH	52.8 	54.7 	53.4 	54.7 	56.7 	56.7 	55.9 b	56.5 	56.8 	57.8 
A,PC,F,Y20-64,NEU27_2020_FOR,CY	69.5 	65.0 	64.5 	62.8 	67.8 	66.4 	71.3 b	68.8 	68.8 	66.7 
A,PC,F,Y20-64,NEU27_2020_FOR,CZ	60.7 	68.2 	67.9 	72.4 	73.1 	71.2 	67.6 b	71.6 	73.2 	71.6 
A,PC,F,Y20-64,NEU27_2020_FOR,DE	46.0 	45.1 	46.0 	47.2 	48.7 	46.1 b	45.9 b	47.6 	47.9 	50.5 
A,PC,F,Y20-64,NEU27_2020_FOR,DK	46.8 	52.8 b	52.4 b	51.9 	50.5 	53.3 	56.7 b	64.1 	62.2 b	64.7 
A,PC,F,Y20-64,NEU27_2020_FOR,EE	61.2 	60.0 	63.7 	66.5 	65.9 	68.6 	64.7 b	67.0 	69.3 	68.5 
A,PC,F,Y20-64,NEU27_2020_FOR,EL	45.0 	42.4 	42.8 	41.3 	42.4 	39.7 	38.8 b	41.5 	44.7 	43.3 
A,PC,F,Y20-64,NEU27_2020_FOR,ES	49.3 	50.2 	52.2 	52.0 	50.7 	47.3 	50.9 bd	52.6 d	54.9 d	54.9 d
A,PC,F,Y20-64,NEU27_2020_FOR,EU27_2020	46.0 	45.4 	46.6 	47.7 	48.0 	45.5 	47.1 b	49.4 	51.6 	53.1 
A,PC,F,Y20-64,NEU27_2020_FOR,FI	36.7 	35.9 	36.5 	39.3 	42.4 	42.8 	47.2 b	58.8 	52.3 	47.6 
A,PC,F,Y20-64,NEU27_2020_FOR,FR	37.6 	34.5 	36.2 	37.9 	38.6 	39.6 	43.1 bd	43.9 d	48.3 d	48.4 d
A,PC,F,Y20-64,NEU27_2020_FOR,HR	37.5 u	: u	: u	38.1 u	39.6 u	43.2 u	56.8 bu	61.9 u	59.9 u	58.7 u
A,PC,F,Y20-64,NEU27_2020_FOR,HU	62.0 u	50.6 u	67.2 u	47.3 bu	70.5 	40.8 u	62.7 b	64.2 	47.8 	50.1 
A,PC,F,Y20-64,NEU27_2020_FOR,IE	49.2 	52.3 	54.4 b	56.5 	58.9 	55.9 	62.6 b	66.6 	67.9 	70.3 
A,PC,F,Y20-64,NEU27_2020_FOR,IS	61.1 	63.8 	84.0 	80.1 	78.6 	75.8 b	66.8 b	75.3 	74.7 	80.0 
A,PC,F,Y20-64,NEU27_2020_FOR,IT	48.3 	47.8 	48.6 	49.5 b	48.9 	43.6 	44.4 b	46.2 	47.8 	49.1 
A,PC,F,Y20-64,NEU27_2020_FOR,LT	66.3 u	64.3 u	65.5 u	65.8 u	76.9 	72.6 	61.3 b	74.1 	72.1 	66.8 
A,PC,F,Y20-64,NEU27_2020_FOR,LU	43.3 b	48.2 	51.6 	48.8 	51.5 	49.3 	57.2 b	62.0 	60.5 	58.3 
