freq,unit,sex,age,citizen,geo\TIME_PERIOD	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,PC,F,Y20-64,EU27_2020_FOR,AT	8.3 	8.2 	7.3 	6.6 	6.1 	8.5 	9.2 b	6.4 	7.1 	6.3 
A,PC,F,Y20-64,EU27_2020_FOR,BA	: 	: 	: 	: 	: 	: 	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,BE	10.6 	9.7 	10.6 b	7.8 	7.5 	7.6 	8.0 b	5.5 	6.1 	6.8 
A,PC,F,Y20-64,EU27_2020_FOR,BG	: u	: u	: u	: u	: bu	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,CH	6.2 	6.1 	7.5 	6.1 	5.7 	6.4 	7.2 b	5.9 	4.9 	5.7 
A,PC,F,Y20-64,EU27_2020_FOR,CY	17.4 	13.2 	10.3 	9.5 	6.7 	10.3 	10.4 b	6.9 	5.6 	6.8 
A,PC,F,Y20-64,EU27_2020_FOR,CZ	4.6 u	6.8 u	3.4 u	4.1 u	4.7 u	2.7 u	1.8 bu	2.8 u	3.5 u	5.0 u
A,PC,F,Y20-64,EU27_2020_FOR,DE	7.1 	5.6 	5.4 	4.9 	4.6 	5.9 b	5.4 b	4.6 	4.5 	4.7 
A,PC,F,Y20-64,EU27_2020_FOR,DK	14.5 	13.6 b	11.7 bu	14.3 	8.8 u	9.1 u	7.9 bu	9.7 u	8.5 bu	10.4 
A,PC,F,Y20-64,EU27_2020_FOR,EE	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,EL	26.9 	32.5 	29.0 	28.0 	30.5 	31.4 	31.7 b	31.6 	21.4 u	25.5 u
A,PC,F,Y20-64,EU27_2020_FOR,ES	27.4 	24.6 	21.9 	19.7 	17.7 	22.7 	23.1 bd	20.5 d	16.6 d	13.2 d
A,PC,F,Y20-64,EU27_2020_FOR,EU27_2020	13.2 	11.4 	10.3 	9.7 	9.1 	10.4 	10.4 b	8.6 	8.0 	7.7 
A,PC,F,Y20-64,EU27_2020_FOR,FI	12.9 u	11.6 u	: u	13.5 u	: u	: u	17.3 b	11.0 u	: u	13.1 u
A,PC,F,Y20-64,EU27_2020_FOR,FR	12.6 	10.0 	8.4 	9.0 	8.2 	7.7 	8.7 bd	7.8 d	6.6 d	9.1 d
A,PC,F,Y20-64,EU27_2020_FOR,HR	: u	: u	: u	: u	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,HU	: u	: u	: u	: bu	: u	: u	: bu	: u	: u	: u
A,PC,F,Y20-64,EU27_2020_FOR,IE	9.9 	9.0 	7.0 b	7.4 	5.3 u	7.0 u	7.3 bu	5.1 u	4.7 u	4.7 u
A,PC,F,Y20-64,EU27_2020_FOR,IS	: u	: u	: u	: u	: u	: bu	15.9 b	6.7 	: u	: u
