freq,reason,citizen,duration,unit,geo\TIME_PERIOD	2023 
A,EDUC,TOTAL,TOTAL,PER,AT	6275 
A,EDUC,TOTAL,TOTAL,PER,BE	9523 
A,EDUC,TOTAL,TOTAL,PER,BG	2306 
A,EDUC,TOTAL,TOTAL,PER,CH	13279 
A,EDUC,TOTAL,TOTAL,PER,CY	2810 
A,EDUC,TOTAL,TOTAL,PER,CZ	9764 
A,EDUC,TOTAL,TOTAL,PER,DE	86943 
A,EDUC,TOTAL,TOTAL,PER,DK	13049 
A,EDUC,TOTAL,TOTAL,PER,EE	449 
A,EDUC,TOTAL,TOTAL,PER,EL	676 
A,EDUC,TOTAL,TOTAL,PER,ES	90922 b
A,EDUC,TOTAL,TOTAL,PER,EU27_2020	544840 
A,EDUC,TOTAL,TOTAL,PER,FI	12914 
A,EDUC,TOTAL,TOTAL,PER,FR	112399 
A,EDUC,TOTAL,TOTAL,PER,HR	377 
A,EDUC,TOTAL,TOTAL,PER,HU	11575 
A,EDUC,TOTAL,TOTAL,PER,IE	39847 u
A,EDUC,TOTAL,TOTAL,PER,IS	694 
A,EDUC,TOTAL,TOTAL,PER,IT	27951 
A,EDUC,TOTAL,TOTAL,PER,LI	26 
A,EDUC,TOTAL,TOTAL,PER,LT	4565 
A,EDUC,TOTAL,TOTAL,PER,LU	786 
A,EDUC,TOTAL,TOTAL,PER,LV	3243 
A,EDUC,TOTAL,TOTAL,PER,MT	7280 
A,EDUC,TOTAL,TOTAL,PER,NL	22922 
A,EDUC,TOTAL,TOTAL,PER,NO	3691 
A,EDUC,TOTAL,TOTAL,PER,PL	30926 
A,EDUC,TOTAL,TOTAL,PER,PT	23878 
A,EDUC,TOTAL,TOTAL,PER,RO	5110 
A,EDUC,TOTAL,TOTAL,PER,SE	11611 
A,EDUC,TOTAL,TOTAL,PER,SI	2579 
A,EDUC,TOTAL,TOTAL,PER,SK	4160 
A,EMP,TOTAL,TOTAL,PER,AT	7166 
A,EMP,TOTAL,TOTAL,PER,BE	8631 
A,EMP,TOTAL,TOTAL,PER,BG	6466 
A,EMP,TOTAL,TOTAL,PER,CH	13707 
A,EMP,TOTAL,TOTAL,PER,CY	16874 
A,EMP,TOTAL,TOTAL,PER,CZ	13688 
A,EMP,TOTAL,TOTAL,PER,DE	102411 
A,EMP,TOTAL,TOTAL,PER,DK	13935 
A,EMP,TOTAL,TOTAL,PER,EE	2065 
A,EMP,TOTAL,TOTAL,PER,EL	11838 
A,EMP,TOTAL,TOTAL,PER,ES	128844 
A,EMP,TOTAL,TOTAL,PER,EU27_2020	1275215 
A,EMP,TOTAL,TOTAL,PER,FI	15410 
A,EMP,TOTAL,TOTAL,PER,FR	58762 
A,EMP,TOTAL,TOTAL,PER,HR	77541 
A,EMP,TOTAL,TOTAL,PER,HU	53542 
A,EMP,TOTAL,TOTAL,PER,IE	23918 u
A,EMP,TOTAL,TOTAL,PER,IS	723 
A,EMP,TOTAL,TOTAL,PER,IT	38103 
A,EMP,TOTAL,TOTAL,PER,LI	110 
A,EMP,TOTAL,TOTAL,PER,LT	46920 
A,EMP,TOTAL,TOTAL,PER,LU	3151 
A,EMP,TOTAL,TOTAL,PER,LV	3838 
A,EMP,TOTAL,TOTAL,PER,MT	27808 
A,EMP,TOTAL,TOTAL,PER,NL	27439 
A,EMP,TOTAL,TOTAL,PER,NO	8546 
A,EMP,TOTAL,TOTAL,PER,PL	427162 
A,EMP,TOTAL,TOTAL,PER,PT	55161 
A,EMP,TOTAL,TOTAL,PER,RO	44662 
A,EMP,TOTAL,TOTAL,PER,SE	19124 
A,EMP,TOTAL,TOTAL,PER,SI	20714 
A,EMP,TOTAL,TOTAL,PER,SK	20042 
A,FAM,TOTAL,TOTAL,PER,AT	18156 
A,FAM,TOTAL,TOTAL,PER,BE	33774 
A,FAM,TOTAL,TOTAL,PER,BG	6160 
A,FAM,TOTAL,TOTAL,PER,CH	20677 
A,FAM,TOTAL,TOTAL,PER,CY	8564 
A,FAM,TOTAL,TOTAL,PER,CZ	12492 
A,FAM,TOTAL,TOTAL,PER,DE	236330 
A,FAM,TOTAL,TOTAL,PER,DK	12146 
A,FAM,TOTAL,TOTAL,PER,EE	1838 
A,FAM,TOTAL,TOTAL,PER,EL	17366 
